id,industry,company_size_desc,company_size_tag,problem_title,raw_input_text,stakeholders,existing_systems,budget_band,timeline_target,discovery_questions,gap_analysis,brd_objectives,functional_requirements,non_functional_requirements,assumptions,hld_summary,tech_stack,security_notes,effort_breakdown_json,cost_band
104837,Logistics,a 5-person startup,startup,Siloed departments,"We're a 5-person startup in the logistics space. Marketing, sales, and support each use different tools that don't talk to each other. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 6 months, budget is around $75K-$250K. Key people involved: Compliance Officer.",Compliance Officer,Shopify plus manual spreadsheets,$75K-$250K,6 months,"Is Shopify plus manual spreadsheets staying in place, or is this a full replacement? | What's the target timeline — 6 months was mentioned, is that firm? | Who signs off on the final solution — is it Compliance Officer? | How many compliance officer currently touch this process each week? | What does success look like in 90 days after launch?","Current state: Marketing, sales, and support each use different tools that don't talk to each other. Desired state: a single system of record that compliance officer and compliance officer can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'siloed departments', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'siloed departments'; provide role-based dashboards for Compliance Officer and Compliance Officer; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A Angular client talks to a Node.js/Express API layer, which reads/writes to PostgreSQL and handles the core 'siloed departments' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: Angular. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 2, ""build_weeks"": 7, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 15}",mid
104838,Telecommunications,a 300-person mid-market company,mid-market,Forecasting is guesswork,"We're a 300-person mid-market company in the telecommunications space. Demand and revenue forecasting is based on gut feel, not historical data. Right now we rely on a paper filing system. We'd like this fixed in roughly 3 months, budget is around $20K-$75K. Key people involved: VP of Sales; Finance Controller.",VP of Sales; Finance Controller,a paper filing system,$20K-$75K,3 months,"Who signs off on the final solution — is it Finance Controller? | Do you need this to integrate with any other tools beyond a paper filing system? | Are there any compliance or data-residency requirements we should design around? | How many vp of sales currently touch this process each week? | What's the target timeline — 3 months was mentioned, is that firm?","Current state: Demand and revenue forecasting is based on gut feel, not historical data. Desired state: a single system of record that vp of sales and finance controller can both rely on, with automated handoffs replacing the manual steps in a paper filing system.","Eliminate manual handling of 'forecasting is guesswork', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across a paper filing system; automate the workflow steps tied to 'forecasting is guesswork'; provide role-based dashboards for VP of Sales and Finance Controller; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a paper filing system data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A Vue.js client talks to a .NET Core API layer, which reads/writes to MongoDB and handles the core 'forecasting is guesswork' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: Vue.js. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Data residency and lawful-intercept considerations reviewed with legal.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 13, ""test_weeks"": 3, ""deploy_weeks"": 1, ""total_weeks"": 20}",low
104839,Agriculture,"a 2,000+ employee enterprise",enterprise,Customer support backlog,"We're a 2,000+ employee enterprise in the agriculture space. Support tickets pile up with no triage, leading to slow response times and churn. Right now we rely on Salesforce (partially adopted). We'd like this fixed in roughly 12-18 months, budget is around $75K-$250K. Key people involved: IT Director; Warehouse Supervisors.",IT Director; Warehouse Supervisors,Salesforce (partially adopted),$75K-$250K,12-18 months,"What's the target timeline — 12-18 months was mentioned, is that firm? | What does success look like in 90 days after launch? | How many warehouse supervisors currently touch this process each week?","Current state: Support tickets pile up with no triage, leading to slow response times and churn. Desired state: a single system of record that it director and warehouse supervisors can both rely on, with automated handoffs replacing the manual steps in Salesforce (partially adopted).","Eliminate manual handling of 'customer support backlog', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across Salesforce (partially adopted); automate the workflow steps tied to 'customer support backlog'; provide role-based dashboards for IT Director and Warehouse Supervisors; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Salesforce (partially adopted) data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A Vue.js client talks to a .NET Core API layer, which reads/writes to MongoDB and handles the core 'customer support backlog' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: Vue.js. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 4, ""build_weeks"": 14, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 21}",mid
104840,Telecommunications,a 40-person SME,sme,Billing errors,"We're a 40-person SME in the telecommunications space. Invoices go out with wrong amounts or line items, creating rework and customer complaints. Right now we rely on a legacy SAP install. We'd like this fixed in roughly 6 weeks, budget is around $20K-$75K. Key people involved: Regional Manager.",Regional Manager,a legacy SAP install,$20K-$75K,6 weeks,"Is a legacy SAP install staying in place, or is this a full replacement? | How many regional manager currently touch this process each week? | Do you need this to integrate with any other tools beyond a legacy SAP install? | What does success look like in 90 days after launch? | What's the target timeline — 6 weeks was mentioned, is that firm?","Current state: Invoices go out with wrong amounts or line items, creating rework and customer complaints. Desired state: a single system of record that regional manager and regional manager can both rely on, with automated handoffs replacing the manual steps in a legacy SAP install.","Eliminate manual handling of 'billing errors', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across a legacy SAP install; automate the workflow steps tied to 'billing errors'; provide role-based dashboards for Regional Manager and Regional Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a legacy SAP install data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A Angular client talks to a Java/Spring Boot API layer, which reads/writes to MongoDB and handles the core 'billing errors' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: Angular. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Data residency and lawful-intercept considerations reviewed with legal.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 8, ""test_weeks"": 1, ""deploy_weeks"": 2, ""total_weeks"": 15}",low
104841,Sports & Fitness,a 40-person SME,sme,Manual order processing,"We're a 40-person SME in the sports & fitness space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on a legacy SAP install. We'd like this fixed in roughly 3 months, budget is around $75K-$250K. Key people involved: Head of Marketing.",Head of Marketing,a legacy SAP install,$75K-$250K,3 months,"Are there any compliance or data-residency requirements we should design around? | How many head of marketing currently touch this process each week? | What's the rough budget band you're planning around? | Is a legacy SAP install staying in place, or is this a full replacement?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that head of marketing and head of marketing can both rely on, with automated handoffs replacing the manual steps in a legacy SAP install.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across a legacy SAP install; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for Head of Marketing and Head of Marketing; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a legacy SAP install data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A React client talks to a Node.js/Express API layer, which reads/writes to MongoDB and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: React. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 3, ""build_weeks"": 3, ""test_weeks"": 3, ""deploy_weeks"": 1, ""total_weeks"": 12}",mid
104842,Insurance,a 5-person startup,startup,No self-service for customers,"We're a 5-person startup in the insurance space. Customers must call or email for status updates that could be automated. Right now we rely on no formal system — mostly email. We'd like this fixed in roughly 6 months, budget is around $250K-$750K. Key people involved: Head of Customer Support.",Head of Customer Support,no formal system — mostly email,$250K-$750K,6 months,"Who signs off on the final solution — is it Head of Customer Support? | Are there any compliance or data-residency requirements we should design around? | Do you need this to integrate with any other tools beyond no formal system — mostly email? | Is no formal system — mostly email staying in place, or is this a full replacement? | What does success look like in 90 days after launch?","Current state: Customers must call or email for status updates that could be automated. Desired state: a single system of record that head of customer support and head of customer support can both rely on, with automated handoffs replacing the manual steps in no formal system — mostly email.","Eliminate manual handling of 'no self-service for customers', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across no formal system — mostly email; automate the workflow steps tied to 'no self-service for customers'; provide role-based dashboards for Head of Customer Support and Head of Customer Support; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes no formal system — mostly email data can be exported or accessed via API; assumes budget band ($250K-$750K) covers a single-region deployment.,"A Angular client talks to a Node.js/Express API layer, which reads/writes to MySQL and handles the core 'no self-service for customers' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: Angular. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MySQL (widely supported, low operational overhead). Hosting: GCP (strong data/analytics tooling at competitive cost).",SOC 2-aligned access logging; state-level data privacy review.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 6, ""test_weeks"": 1, ""deploy_weeks"": 2, ""total_weeks"": 12}",mid
104843,Food & Beverage,a 40-person SME,sme,Legacy system can't scale,"We're a 40-person SME in the food & beverage space. The aging core system can't handle current transaction volume without crashing. Right now we rely on a legacy SAP install. We'd like this fixed in roughly 6 months, budget is around $20K-$75K. Key people involved: VP of Sales; IT Director.",VP of Sales; IT Director,a legacy SAP install,$20K-$75K,6 months,"Is a legacy SAP install staying in place, or is this a full replacement? | What's the rough budget band you're planning around? | Do you need this to integrate with any other tools beyond a legacy SAP install?","Current state: The aging core system can't handle current transaction volume without crashing. Desired state: a single system of record that vp of sales and it director can both rely on, with automated handoffs replacing the manual steps in a legacy SAP install.","Eliminate manual handling of 'legacy system can't scale', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across a legacy SAP install; automate the workflow steps tied to 'legacy system can't scale'; provide role-based dashboards for VP of Sales and IT Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a legacy SAP install data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'legacy system can't scale' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React Native (mobile-first). Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 4, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 9}",low
104844,Education,a 5-person startup,startup,Scheduling conflicts,"We're a 5-person startup in the education space. Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Right now we rely on QuickBooks. We'd like this fixed in roughly 12-18 months, budget is around $750K+. Key people involved: Operations Manager.",Operations Manager,QuickBooks,$750K+,12-18 months,"Who signs off on the final solution — is it Operations Manager? | What's the target timeline — 12-18 months was mentioned, is that firm? | Is QuickBooks staying in place, or is this a full replacement? | How many operations manager currently touch this process each week?","Current state: Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Desired state: a single system of record that operations manager and operations manager can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'scheduling conflicts', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'scheduling conflicts'; provide role-based dashboards for Operations Manager and Operations Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Angular client talks to a Node.js/Express API layer, which reads/writes to MongoDB and handles the core 'scheduling conflicts' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: Angular. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: GCP (strong data/analytics tooling at competitive cost).",FERPA-aligned access controls for student records.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 5, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 14}",high
104845,Retail,a 40-person SME,sme,No real-time tracking,"We're a 40-person SME in the retail space. Shipments and assets can't be tracked once they leave the facility. Right now we rely on an old on-prem ERP. We'd like this fixed in roughly 6 weeks, budget is around $750K+. Key people involved: HR Director; Regional Manager; Product Manager.",HR Director; Regional Manager; Product Manager,an old on-prem ERP,$750K+,6 weeks,"How many regional manager currently touch this process each week? | Who signs off on the final solution — is it Product Manager? | Is an old on-prem ERP staying in place, or is this a full replacement? | Do you need this to integrate with any other tools beyond an old on-prem ERP? | What's the rough budget band you're planning around?","Current state: Shipments and assets can't be tracked once they leave the facility. Desired state: a single system of record that hr director and product manager can both rely on, with automated handoffs replacing the manual steps in an old on-prem ERP.","Eliminate manual handling of 'no real-time tracking', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across an old on-prem ERP; automate the workflow steps tied to 'no real-time tracking'; provide role-based dashboards for HR Director and Product Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an old on-prem ERP data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Angular client talks to a Python/FastAPI API layer, which reads/writes to MySQL and handles the core 'no real-time tracking' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: Angular. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MySQL (widely supported, low operational overhead). Hosting: GCP (strong data/analytics tooling at competitive cost).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 6, ""test_weeks"": 3, ""deploy_weeks"": 1, ""total_weeks"": 14}",high
104846,Food & Beverage,a 300-person mid-market company,mid-market,Manual order processing,"We're a 300-person mid-market company in the food & beverage space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on QuickBooks. We'd like this fixed in roughly 6 months, budget is around $750K+. Key people involved: Store Managers; Operations Manager.",Store Managers; Operations Manager,QuickBooks,$750K+,6 months,"Do you need this to integrate with any other tools beyond QuickBooks? | What's the target timeline — 6 months was mentioned, is that firm? | Is QuickBooks staying in place, or is this a full replacement?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that store managers and operations manager can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for Store Managers and Operations Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Angular client talks to a Python/FastAPI API layer, which reads/writes to MySQL and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Angular. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 11, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 17}",high
104847,Healthcare,a 300-person mid-market company,mid-market,Manual compliance reporting,"We're a 300-person mid-market company in the healthcare space. Compliance reports are assembled by hand from scattered spreadsheets each cycle. Right now we rely on Excel/Google Sheets. We'd like this fixed in roughly 3 months, budget is around $250K-$750K. Key people involved: CTO.",CTO,Excel/Google Sheets,$250K-$750K,3 months,"Do you need this to integrate with any other tools beyond Excel/Google Sheets? | What's the target timeline — 3 months was mentioned, is that firm? | How many cto currently touch this process each week? | Are there any compliance or data-residency requirements we should design around?","Current state: Compliance reports are assembled by hand from scattered spreadsheets each cycle. Desired state: a single system of record that cto and cto can both rely on, with automated handoffs replacing the manual steps in Excel/Google Sheets.","Eliminate manual handling of 'manual compliance reporting', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across Excel/Google Sheets; automate the workflow steps tied to 'manual compliance reporting'; provide role-based dashboards for CTO and CTO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Excel/Google Sheets data can be exported or accessed via API; assumes budget band ($250K-$750K) covers a single-region deployment.,"A Angular client talks to a Java/Spring Boot API layer, which reads/writes to MySQL and handles the core 'manual compliance reporting' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Angular. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",HIPAA-aligned storage and access controls; PHI encrypted at rest and in transit.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 5, ""test_weeks"": 3, ""deploy_weeks"": 1, ""total_weeks"": 13}",mid
104848,Hospitality,"a 2,000+ employee enterprise",enterprise,Manual reconciliation,"We're a 2,000+ employee enterprise in the hospitality space. Finance reconciles payments against orders by hand at month-end. Right now we rely on an old on-prem ERP. We'd like this fixed in roughly 3 months, budget is around under $20K. Key people involved: Finance Controller; Regional Manager.",Finance Controller; Regional Manager,an old on-prem ERP,under $20K,3 months,"What's the target timeline — 3 months was mentioned, is that firm? | Are there any compliance or data-residency requirements we should design around? | Do you need this to integrate with any other tools beyond an old on-prem ERP? | What's the rough budget band you're planning around? | Is an old on-prem ERP staying in place, or is this a full replacement?","Current state: Finance reconciles payments against orders by hand at month-end. Desired state: a single system of record that finance controller and regional manager can both rely on, with automated handoffs replacing the manual steps in an old on-prem ERP.","Eliminate manual handling of 'manual reconciliation', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across an old on-prem ERP; automate the workflow steps tied to 'manual reconciliation'; provide role-based dashboards for Finance Controller and Regional Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an old on-prem ERP data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Python/FastAPI API layer, which reads/writes to PostgreSQL and handles the core 'manual reconciliation' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React Native (mobile-first). Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 3, ""design_weeks"": 1, ""build_weeks"": 4, ""test_weeks"": 4, ""deploy_weeks"": 3, ""total_weeks"": 15}",low
104849,Construction,a 5-person startup,startup,Forecasting is guesswork,"We're a 5-person startup in the construction space. Demand and revenue forecasting is based on gut feel, not historical data. Right now we rely on an outdated Microsoft Access database. We'd like this fixed in roughly 3 months, budget is around $750K+. Key people involved: Warehouse Supervisors; Operations Manager.",Warehouse Supervisors; Operations Manager,an outdated Microsoft Access database,$750K+,3 months,"What does success look like in 90 days after launch? | Do you need this to integrate with any other tools beyond an outdated Microsoft Access database? | Is an outdated Microsoft Access database staying in place, or is this a full replacement? | Who signs off on the final solution — is it Operations Manager?","Current state: Demand and revenue forecasting is based on gut feel, not historical data. Desired state: a single system of record that warehouse supervisors and operations manager can both rely on, with automated handoffs replacing the manual steps in an outdated Microsoft Access database.","Eliminate manual handling of 'forecasting is guesswork', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across an outdated Microsoft Access database; automate the workflow steps tied to 'forecasting is guesswork'; provide role-based dashboards for Warehouse Supervisors and Operations Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an outdated Microsoft Access database data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Angular client talks to a Python/FastAPI API layer, which reads/writes to MySQL and handles the core 'forecasting is guesswork' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Angular. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 3, ""test_weeks"": 1, ""deploy_weeks"": 2, ""total_weeks"": 10}",high
104850,Real Estate,a 300-person mid-market company,mid-market,Data entry duplication,"We're a 300-person mid-market company in the real estate space. Staff re-enter the same data into multiple disconnected tools every day. Right now we rely on Excel/Google Sheets. We'd like this fixed in roughly 6 months, budget is around under $20K. Key people involved: CTO; HR Director.",CTO; HR Director,Excel/Google Sheets,under $20K,6 months,"What's the rough budget band you're planning around? | Are there any compliance or data-residency requirements we should design around? | Who signs off on the final solution — is it HR Director? | Is Excel/Google Sheets staying in place, or is this a full replacement?","Current state: Staff re-enter the same data into multiple disconnected tools every day. Desired state: a single system of record that cto and hr director can both rely on, with automated handoffs replacing the manual steps in Excel/Google Sheets.","Eliminate manual handling of 'data entry duplication', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across Excel/Google Sheets; automate the workflow steps tied to 'data entry duplication'; provide role-based dashboards for CTO and HR Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Excel/Google Sheets data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React client talks to a Python/FastAPI API layer, which reads/writes to PostgreSQL and handles the core 'data entry duplication' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: React. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 10, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 17}",low
104851,Food & Beverage,a 5-person startup,startup,No audit trail,"We're a 5-person startup in the food & beverage space. Changes to records aren't logged anywhere, which makes audits painful and risky. Right now we rely on HubSpot free tier. We'd like this fixed in roughly 9-12 months, budget is around $750K+. Key people involved: Operations Manager.",Operations Manager,HubSpot free tier,$750K+,9-12 months,"Who signs off on the final solution — is it Operations Manager? | What's the target timeline — 9-12 months was mentioned, is that firm? | Is HubSpot free tier staying in place, or is this a full replacement?","Current state: Changes to records aren't logged anywhere, which makes audits painful and risky. Desired state: a single system of record that operations manager and operations manager can both rely on, with automated handoffs replacing the manual steps in HubSpot free tier.","Eliminate manual handling of 'no audit trail', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across HubSpot free tier; automate the workflow steps tied to 'no audit trail'; provide role-based dashboards for Operations Manager and Operations Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes HubSpot free tier data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Angular client talks to a Java/Spring Boot API layer, which reads/writes to MySQL and handles the core 'no audit trail' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Angular. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 6, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 11}",high
104852,Banking & Finance,"a 2,000+ employee enterprise",enterprise,Slow reporting cycles,"We're a 2,000+ employee enterprise in the banking & finance space. Monthly leadership reports take a week to assemble from five different exports. Right now we rely on QuickBooks. We'd like this fixed in roughly 6 months, budget is around $20K-$75K. Key people involved: Warehouse Supervisors; IT Director; CFO.",Warehouse Supervisors; IT Director; CFO,QuickBooks,$20K-$75K,6 months,"Do you need this to integrate with any other tools beyond QuickBooks? | How many warehouse supervisors currently touch this process each week? | Are there any compliance or data-residency requirements we should design around? | Is QuickBooks staying in place, or is this a full replacement? | What does success look like in 90 days after launch?","Current state: Monthly leadership reports take a week to assemble from five different exports. Desired state: a single system of record that warehouse supervisors and cfo can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'slow reporting cycles', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'slow reporting cycles'; provide role-based dashboards for Warehouse Supervisors and CFO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A Vue.js client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'slow reporting cycles' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: Vue.js. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,PCI-DSS scope review; SOC 2-aligned access logging and encryption.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 4, ""test_weeks"": 4, ""deploy_weeks"": 3, ""total_weeks"": 13}",low
